Generation,Population,Slow_Count,Fast_Count,Mut_Loc,Prod_rt,Min 
610,popB,55,65,86,25.0,2.026,25.0
611,popB,55,65,32,50.0,2.026,25.0
612,popB,56,64,118,25.0,2.051,25.0
613,popB,55,65,35,50.0,2.153,25.0
614,popB,55,65,73,25.0,2.153,25.0
615,popA,55,65,0,0,2.153,25.0
616,popB,55,65,12,50.0,2.153,25.0
617,popB,56,64,75,25.0,2.115,25.0
618,popA,56,64,0,0,2.115,25.0
619,popB,56,64,44,25.0,2.115,25.0
620,popB,55,65,80,50.0,2.187,25.0
621,popB,55,65,81,25.0,2.187,25.0
622,popB,55,65,41,50.0,2.187,25.0
623,popB,56,64,71,25.0,2.069,25.0
624,popB,57,63,37,25.0,2.074,25.0
625,popB,56,64,101,50.0,2.055,25.0
626,popB,55,65,10,50.0,2.202,25.0
627,popB,55,65,2,50.0,2.202,25.0
628,popB,55,65,15,50.0,2.202,25.0
629,popA,55,65,0,0,2.202,25.0
630,popB,55,65,75,25.0,2.202,25.0
631,popB,55,65,70,25.0,2.202,25.0
632,popA,55,65,0,0,2.202,25.0
633,popB,56,64,83,25.0,2.199,25.0
634,popB,56,64,105,25.0,2.199,25.0
635,popB,57,63,10,25.0,2.050,25.0
636,popB,57,63,82,25.0,2.050,25.0
637,popB,56,64,100,50.0,2.028,25.0
638,popB,56,64,47,50.0,2.028,25.0
639,popB,56,64,27,25.0,2.028,25.0
640,popB,57,63,51,25.0,2.154,25.0
641,popB,58,62,108,25.0,2.153,25.0
642,popB,58,62,81,25.0,2.153,25.0
643,popB,59,61,36,25.0,2.097,25.0
644,popB,59,61,36,25.0,2.097,25.0
645,popB,59,61,62,50.0,2.097,25.0
646,popB,59,61,36,25.0,2.097,25.0
647,popB,59,61,51,25.0,2.097,25.0
648,popB,59,61,12,50.0,2.097,25.0
649,popB,59,61,8,50.0,2.097,25.0
650,popB,59,61,78,50.0,2.097,25.0
651,popB,59,61,63,25.0,2.097,25.0
652,popB,59,61,44,25.0,2.097,25.0
653,popB,59,61,69,25.0,2.097,25.0
654,popB,60,60,39,25.0,2.081,25.0
655,popB,59,61,108,50.0,2.131,25.0
656,popB,59,61,53,50.0,2.131,25.0
657,popB,59,61,69,25.0,2.131,25.0
658,popB,59,61,20,25.0,2.131,25.0
659,popB,60,60,106,25.0,2.100,25.0
660,popB,59,61,94,50.0,2.101,25.0
661,popB,59,61,77,25.0,2.101,25.0
662,popB,59,61,44,25.0,2.101,25.0
663,popB,59,61,74,50.0,2.101,25.0
664,popB,59,61,43,25.0,2.101,25.0
665,popB,59,61,12,50.0,2.101,25.0
666,popB,59,61,28,25.0,2.101,25.0
667,popB,59,61,50,25.0,2.101,25.0
668,popA,59,61,0,0,2.101,25.0
669,popB,58,62,23,50.0,2.094,25.0
670,popB,58,62,25,50.0,2.094,25.0
671,popB,58,62,60,25.0,2.094,25.0
672,popB,59,61,23,25.0,2.101,25.0
673,popB,59,61,105,25.0,2.101,25.0
674,popB,58,62,20,50.0,2.015,25.0
675,popB,59,61,40,25.0,2.026,25.0
676,popB,59,61,54,25.0,2.026,25.0
677,popB,59,61,115,25.0,2.026,25.0
678,popB,60,60,76,25.0,2.018,25.0
679,popB,60,60,81,25.0,2.018,25.0
680,popB,60,60,46,25.0,2.018,25.0
681,popB,59,61,40,50.0,1.997,25.0
682,popB,60,60,93,25.0,1.992,25.0
683,popB,60,60,94,50.0,1.992,25.0
684,popB,60,60,83,25.0,1.992,25.0
685,popB,61,59,101,25.0,1.995,25.0
686,popB,61,59,100,50.0,1.995,25.0
687,popB,60,60,10,50.0,1.963,25.0
688,popB,60,60,84,50.0,1.963,25.0
689,popB,59,61,4,50.0,1.963,25.0
690,popB,60,60,45,25.0,1.973,25.0
691,popB,61,59,34,25.0,2.006,25.0
692,popB,61,59,82,25.0,2.006,25.0
693,popB,62,58,87,25.0,2.063,25.0
694,popB,61,59,92,50.0,1.969,25.0
695,popB,61,59,31,25.0,1.969,25.0
696,popB,61,59,40,50.0,1.969,25.0
697,popB,62,58,55,25.0,1.964,25.0
698,popB,61,59,76,50.0,1.967,25.0
699,popB,62,58,78,25.0,1.897,25.0
700,popB,62,58,19,50.0,1.897,25.0
701,popB,63,57,66,25.0,1.886,25.0
702,popB,63,57,89,50.0,1.886,25.0
703,popB,63,57,116,50.0,1.886,25.0
704,popB,62,58,78,50.0,1.902,25.0
705,popB,63,57,9,25.0,1.896,25.0
706,popB,64,56,103,25.0,1.887,25.0
707,popB,64,56,3,50.0,1.887,25.0
708,popB,64,56,71,25.0,1.887,25.0
709,popB,64,56,58,50.0,1.887,25.0
710,popB,65,55,80,25.0,1.873,25.0
711,popB,64,56,38,50.0,1.996,25.0
712,popB,64,56,75,25.0,1.996,25.0
713,popB,64,56,11,25.0,1.996,25.0
714,popB,65,55,58,25.0,1.882,25.0
715,popB,64,56,33,50.0,1.828,25.0
716,popB,64,56,59,25.0,1.828,25.0
717,popB,63,57,27,50.0,1.885,25.0
718,popB,63,57,90,50.0,1.885,25.0
719,popB,64,56,114,25.0,1.880,25.0
720,popB,65,55,35,25.0,1.865,25.0
721,popB,64,56,73,50.0,1.876,25.0
722,popB,63,57,101,50.0,1.881,25.0
723,popB,62,58,60,50.0,1.798,25.0
724,popB,62,58,111,50.0,1.798,25.0
725,popB,63,57,72,25.0,1.796,25.0
726,popB,64,56,61,25.0,1.893,25.0
727,popB,64,56,81,25.0,1.893,25.0
728,popB,65,55,10,25.0,1.910,25.0
729,popB,65,55,95,25.0,1.910,25.0
730,popB,64,56,117,50.0,1.914,25.0
731,popB,64,56,82,25.0,1.914,25.0
732,popB,65,55,111,25.0,1.911,25.0
733,popB,66,54,74,25.0,1.860,25.0
734,popB,67,53,49,25.0,1.948,25.0
735,popB,67,53,51,25.0,1.948,25.0
736,popB,67,53,102,25.0,1.948,25.0
737,popB,66,54,11,50.0,2.119,25.0
738,popB,67,53,90,25.0,2.124,25.0
739,popB,67,53,2,50.0,2.124,25.0
740,popB,68,52,26,25.0,2.039,25.0
741,popB,68,52,70,25.0,2.039,25.0
742,popB,68,52,44,25.0,2.039,25.0
743,popB,68,52,83,25.0,2.039,25.0
744,popB,68,52,59,25.0,2.039,25.0
745,popB,68,52,77,25.0,2.039,25.0
746,popB,69,51,79,25.0,1.906,25.0
747,popB,69,51,39,25.0,1.906,25.0
748,popB,69,51,107,25.0,1.906,25.0
749,popB,68,52,95,50.0,1.926,25.0
750,popB,69,51,68,25.0,2.074,25.0
751,popB,68,52,70,50.0,2.034,25.0
752,popB,67,53,57,50.0,1.959,25.0
753,popB,66,54,96,50.0,1.959,25.0
754,popB,66,54,105,25.0,1.959,25.0
755,popB,65,55,112,50.0,1.923,25.0
756,popB,65,55,35,25.0,1.923,25.0
757,popB,65,55,20,50.0,1.923,25.0
758,popB,65,55,66,25.0,1.923,25.0
759,popB,64,56,61,50.0,2.060,25.0
760,popB,64,56,81,25.0,2.060,25.0
761,popB,63,57,68,50.0,1.924,25.0
762,popB,63,57,40,50.0,1.924,25.0
763,popB,64,56,99,25.0,1.956,25.0
764,popA,64,56,0,0,1.956,25.0
765,popB,63,57,67,50.0,1.996,25.0
766,popB,64,56,25,25.0,2.001,25.0
767,popB,64,56,18,25.0,2.001,25.0
768,popB,63,57,81,50.0,1.951,25.0
769,popB,63,57,6,50.0,1.951,25.0
770,popB,63,57,114,25.0,1.951,25.0
771,popB,64,56,64,25.0,1.981,25.0
772,popB,64,56,117,50.0,1.981,25.0
773,popB,65,55,12,25.0,1.865,25.0
774,popB,64,56,102,50.0,1.795,25.0
775,popB,63,57,26,50.0,1.787,25.0
776,popB,63,57,111,25.0,1.787,25.0
777,popB,64,56,13,25.0,1.796,25.0
778,popB,65,55,26,25.0,1.876,25.0
779,popB,66,54,33,25.0,2.017,25.0
780,popB,66,54,81,50.0,2.017,25.0
781,popB,67,53,100,25.0,2.029,25.0
782,popB,66,54,18,50.0,2.090,25.0
783,popB,66,54,80,25.0,2.090,25.0
784,popB,67,53,116,25.0,2.085,25.0
785,popB,66,54,37,50.0,1.913,25.0
786,popB,66,54,100,25.0,1.913,25.0
787,popB,66,54,92,50.0,1.913,25.0
788,popB,65,55,54,50.0,1.936,25.0
789,popB,64,56,56,50.0,1.951,25.0
790,popB,65,55,53,25.0,1.926,25.0
791,popB,65,55,15,50.0,1.926,25.0
792,popB,65,55,48,25.0,1.926,25.0
793,popB,65,55,71,25.0,1.926,25.0
794,popB,65,55,9,25.0,1.926,25.0
795,popB,65,55,29,50.0,1.926,25.0
796,popB,65,55,27,50.0,1.926,25.0
797,popB,64,56,53,50.0,1.951,25.0
798,popB,65,55,30,25.0,2.078,25.0
799,popB,66,54,53,25.0,1.950,25.0
800,popB,67,53,101,25.0,1.948,25.0
801,popB,66,54,0,50.0,1.948,25.0
802,popB,67,53,68,25.0,1.940,25.0
803,popB,68,52,62,25.0,1.880,25.0
804,popB,68,52,38,50.0,1.880,25.0
805,popB,67,53,83,50.0,1.843,25.0
806,popB,67,53,50,25.0,1.843,25.0
807,popA,67,53,0,0,1.843,25.0
808,popB,67,53,22,50.0,1.843,25.0
809,popB,67,53,62,25.0,1.843,25.0
810,popB,66,54,80,50.0,2.067,25.0
811,popB,65,55,90,50.0,2.107,25.0
812,popB,64,56,34,50.0,1.952,25.0
813,popB,63,57,93,50.0,1.960,25.0
814,popB,62,58,49,50.0,2.146,25.0
815,popB,61,59,101,50.0,2.140,25.0
816,popB,60,60,7,50.0,2.131,25.0
817,popB,60,60,111,25.0,2.131,25.0
818,popB,61,59,96,25.0,2.030,25.0
819,popB,61,59,41,50.0,2.030,25.0
820,popB,62,58,94,25.0,2.162,25.0
821,popB,61,59,87,50.0,2.163,25.0
822,popB,60,60,74,50.0,2.032,25.0
823,popB,61,59,54,25.0,2.221,25.0
824,popB,61,59,43,25.0,2.221,25.0
825,popB,60,60,14,50.0,2.110,25.0
826,popB,60,60,63,25.0,2.110,25.0
827,popB,61,59,87,25.0,2.140,25.0
828,popB,61,59,15,50.0,2.140,25.0
829,popB,61,59,22,50.0,2.140,25.0
830,popB,61,59,100,25.0,2.140,25.0
831,popB,62,58,104,25.0,2.030,25.0
832,popB,62,58,90,50.0,2.030,25.0
833,popB,61,59,105,50.0,2.079,25.0
834,popB,61,59,101,50.0,2.079,25.0
835,popB,60,60,26,50.0,2.051,25.0
836,popB,60,60,43,25.0,2.051,25.0
837,popB,59,61,99,50.0,2.041,25.0
838,popB,58,62,86,50.0,2.046,25.0
839,popB,59,61,16,25.0,2.142,25.0
840,popB,59,61,96,25.0,2.142,25.0
841,popB,59,61,8,50.0,2.142,25.0
842,popA,59,61,0,0,2.142,25.0
843,popB,59,61,41,50.0,2.142,25.0
844,popB,59,61,61,50.0,2.142,25.0
845,popA,59,61,0,0,2.142,25.0
846,popA,59,61,0,0,2.142,25.0
847,popB,59,61,98,50.0,2.142,25.0
848,popA,59,61,0,0,2.142,25.0
849,popB,60,60,4,25.0,2.142,25.0
850,popB,60,60,104,25.0,2.142,25.0
851,popB,60,60,100,25.0,2.142,25.0
852,popB,59,61,63,50.0,2.115,25.0
853,popB,60,60,73,25.0,2.165,25.0
854,popB,61,59,88,25.0,2.112,25.0
855,popA,61,59,0,0,2.112,25.0
856,popB,60,60,114,50.0,2.099,25.0
857,popB,59,61,16,50.0,2.053,25.0
858,popB,59,61,119,25.0,2.053,25.0
859,popB,59,61,104,25.0,2.053,25.0
860,popB,59,61,11,50.0,2.053,25.0
861,popB,59,61,99,50.0,2.053,25.0
862,popB,60,60,93,25.0,1.999,25.0
863,popB,60,60,89,50.0,1.999,25.0
864,popB,60,60,117,50.0,1.999,25.0
865,popB,59,61,77,50.0,2.002,25.0
866,popB,59,61,31,25.0,2.002,25.0
867,popB,60,60,22,25.0,2.033,25.0
868,popB,61,59,105,25.0,2.015,25.0
869,popB,60,60,107,50.0,2.018,25.0
870,popB,60,60,14,50.0,2.018,25.0
871,popB,60,60,79,25.0,2.018,25.0
872,popB,60,60,53,25.0,2.018,25.0
873,popB,60,60,89,50.0,2.018,25.0
874,popB,60,60,109,25.0,2.018,25.0
875,popB,59,61,13,50.0,2.083,25.0
876,popB,60,60,108,25.0,2.088,25.0
877,popB,60,60,41,50.0,2.088,25.0
878,popB,60,60,71,25.0,2.088,25.0
879,popB,60,60,51,25.0,2.088,25.0
880,popB,60,60,67,50.0,2.088,25.0
881,popB,59,61,94,50.0,2.013,25.0
882,popB,59,61,3,50.0,2.013,25.0
883,popB,59,61,5,25.0,2.013,25.0
884,popB,58,62,64,50.0,2.117,25.0
885,popB,59,61,40,25.0,2.033,25.0
886,popB,59,61,89,50.0,2.033,25.0
887,popB,60,60,85,25.0,2.003,25.0
888,popB,59,61,71,50.0,2.072,25.0
889,popA,59,61,0,0,2.072,25.0
890,popB,59,61,81,50.0,2.072,25.0
891,popB,60,60,47,25.0,2.061,25.0
892,popB,59,61,12,50.0,2.068,25.0
893,popB,58,62,48,50.0,2.131,25.0
894,popB,59,61,114,25.0,2.142,25.0
895,popB,59,61,34,50.0,2.142,25.0
896,popB,59,61,10,25.0,2.142,25.0
897,popB,60,60,48,25.0,2.056,25.0
898,popB,60,60,68,25.0,2.056,25.0
899,popB,60,60,34,50.0,2.056,25.0
900,popB,60,60,48,25.0,2.056,25.0
901,popB,60,60,13,50.0,2.056,25.0
902,popB,60,60,36,25.0,2.056,25.0
903,popB,60,60,47,25.0,2.056,25.0
904,popB,61,59,60,25.0,1.809,25.0
905,popB,62,58,90,25.0,1.833,25.0
906,popB,62,58,5,25.0,1.833,25.0
907,popB,63,57,110,25.0,1.830,25.0
908,popB,63,57,61,50.0,1.830,25.0
909,popB,64,56,15,25.0,1.830,25.0
910,popB,65,55,26,25.0,1.812,25.0
911,popB,65,55,4,25.0,1.812,25.0
912,popB,66,54,77,25.0,1.923,25.0
913,popB,65,55,114,50.0,1.912,25.0
914,popB,64,56,31,50.0,2.087,25.0
915,popB,64,56,88,25.0,2.087,25.0
916,popB,64,56,2,50.0,2.087,25.0
917,popB,64,56,63,50.0,2.087,25.0
918,popB,63,57,87,50.0,2.030,25.0
919,popB,63,57,84,50.0,2.030,25.0
920,popB,63,57,20,50.0,2.030,25.0
921,popA,63,57,0,0,2.030,25.0
922,popB,62,58,53,50.0,2.074,25.0
923,popB,63,57,27,25.0,2.023,25.0
924,popB,63,57,101,50.0,2.023,25.0
925,popB,63,57,43,25.0,2.023,25.0
926,popB,63,57,7,50.0,2.023,25.0
927,popB,63,57,41,50.0,2.023,25.0
928,popB,63,57,59,25.0,2.023,25.0
929,popB,63,57,10,25.0,2.023,25.0
930,popB,62,58,77,50.0,2.169,25.0
931,popB,63,57,14,25.0,2.025,25.0
932,popB,63,57,96,25.0,2.025,25.0
933,popB,62,58,43,50.0,2.014,25.0
934,popB,62,58,117,50.0,2.014,25.0
935,popB,63,57,11,25.0,2.000,25.0
936,popB,62,58,59,50.0,2.000,25.0
937,popB,63,57,8,25.0,1.986,25.0
938,popB,63,57,117,50.0,1.986,25.0
939,popB,62,58,118,50.0,1.985,25.0
940,popB,61,59,66,50.0,1.962,25.0
941,popB,61,59,34,50.0,1.962,25.0
942,popB,62,58,65,25.0,2.038,25.0
943,popB,62,58,103,25.0,2.038,25.0
944,popB,63,57,78,25.0,2.070,25.0
945,popB,63,57,82,25.0,2.070,25.0
946,popB,64,56,13,25.0,2.060,25.0
947,popB,64,56,91,25.0,2.060,25.0
948,popB,64,56,72,25.0,2.060,25.0
949,popB,64,56,52,25.0,2.060,25.0
950,popB,63,57,72,50.0,2.174,25.0
951,popB,62,58,46,50.0,2.214,25.0
952,popA,62,58,0,0,2.214,25.0
953,popB,61,59,21,50.0,2.253,25.0
954,popB,62,58,113,25.0,2.135,25.0
955,popA,62,58,0,0,2.135,25.0
956,popB,63,57,81,25.0,2.108,25.0
957,popB,63,57,18,50.0,2.108,25.0
958,popB,63,57,50,25.0,2.108,25.0
959,popB,63,57,75,25.0,2.108,25.0
960,popB,62,58,116,50.0,2.200,25.0
961,popB,61,59,13,50.0,2.186,25.0
962,popB,61,59,38,50.0,2.186,25.0
963,popB,60,60,42,50.0,2.084,25.0
964,popB,61,59,42,25.0,2.186,25.0
965,popA,61,59,0,0,2.186,25.0
966,popB,61,59,98,50.0,2.186,25.0
967,popB,61,59,110,25.0,2.186,25.0
968,popB,61,59,2,50.0,2.186,25.0
969,popB,61,59,80,50.0,2.186,25.0
970,popB,61,59,61,50.0,2.186,25.0
971,popB,61,59,100,25.0,2.186,25.0
972,popB,61,59,115,25.0,2.186,25.0
973,popB,61,59,9,25.0,2.186,25.0
974,popB,61,59,91,25.0,2.186,25.0
975,popB,61,59,9,25.0,2.186,25.0
976,popB,60,60,69,50.0,2.255,25.0
977,popB,61,59,6,25.0,2.255,25.0
978,popB,61,59,100,25.0,2.255,25.0
979,popB,61,59,23,25.0,2.255,25.0
980,popB,61,59,71,50.0,2.255,25.0
981,popB,61,59,10,25.0,2.255,25.0
982,popA,61,59,0,0,2.255,25.0
983,popB,61,59,61,50.0,2.255,25.0
984,popB,61,59,63,50.0,2.255,25.0
985,popB,61,59,69,50.0,2.255,25.0
986,popB,61,59,100,25.0,2.255,25.0
987,popA,61,59,0,0,2.255,25.0
988,popB,61,59,114,50.0,2.255,25.0
989,popB,61,59,63,50.0,2.255,25.0
990,popB,61,59,58,25.0,2.255,25.0
991,popB,61,59,20,50.0,2.255,25.0
992,popB,61,59,22,25.0,2.255,25.0
993,popB,60,60,42,50.0,2.045,25.0
994,popB,61,59,59,25.0,2.037,25.0
995,popB,61,59,57,50.0,2.037,25.0
996,popB,62,58,34,25.0,1.896,25.0
997,popB,62,58,92,50.0,1.896,25.0
998,popB,61,59,100,50.0,2.006,25.0
999,popB,61,59,34,25.0,2.006,25.0
1000,popB,61,59,86,50.0,2.006,25.0
